id,name,subsidiary,therapeutic_area,category,type,tagline,overview,features,indication,patient_population,specs,reg_notes,image,tier,classification,business_segment,applicable_departments,model_numbers,development_status,status,fda,fda_cert,fda_qualifier,ce,ce_cert,ce_qualifier,nmpa,nmpa_cert,nmpa_qualifier,pmda,pmda_cert,pmda_qualifier,tga,tga_cert,tga_qualifier
accusniper,AccuSniper™,MicroPort CardioFlow,Coronary and Structural Heart,Balloon catheters,Double-layer balloon valvuloplasty catheter,Double-layer balloon catheter for precise aortic valve balloon valvuloplasty,"The AccuSniper™ Double-layer Balloon Catheter is engineered for precision in patients with calcified, severe aortic stenosis. It is designed for safe and efficient balloon valvuloplasty of both native and transcatheter aortic valves.","Double-layer balloon construction for precision | Indicated for calcified, severe aortic stenosis | Supports valvuloplasty of native and transcatheter aortic valves | Available in eight diameter models (14–28 mm)","Balloon valvuloplasty of native and transcatheter aortic valves in patients with calcified, severe aortic stenosis","Patients with calcified, severe aortic stenosis",Models: SPB-1440 | SPB-1640 | SPB-1840 | SPB-2040 | SPB-2240 | SPB-2440 | SPB-2640 | SPB-2840,NMPA 20233031211.,accusniper.jpg,,,Heart Failure Management & Electrophysiology,Cardiology | Cardiac Surgery | Structural Department,SPB-1440 | SPB-1640 | SPB-1840 | SPB-2040 | SPB-2240 | SPB-2440 | SPB-2640 | SPB-2840,,ACTIVE,,,,,,,cleared,,,,,,,,
acetabular-screws-155,Acetabular Screws,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Hip systems,Acetabular fixation hardware,Screws used to secure the acetabular cup during hip arthroplasty,Acetabular screws designed to secure the acetabular cup during total hip arthroplasty.,Designed to secure acetabular cup,Total hip arthroplasty,,Screws,NMPA 20163464240,acetabular-screws-155.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Screws,,ACTIVE,,,,,,,cleared,,,,,,,,
acetabular-screws-159,Acetabular Screws (Neocotyl system),MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Hip systems,Acetabular fixation hardware,Acetabular screws that enhance cup fixation in hip arthroplasty,"Acetabular screws designed to enhance acetabular cup fixation, part of the Neocotyl system.",Enhances acetabular cup fixation,Total hip arthroplasty,,Screws,NMPA 20193130066,acetabular-screws-159.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,Screws,,ACTIVE,,,,,,,cleared,,,,,,,,
advance-medial-pivot-knee-system,Advance® Medial-Pivot Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Total knee system,Reproduces rotational and translational kinematics of the normal knee,The Advance® Medial-Pivot Knee System is designed to reproduce the rotational and translational kinematics of the normal knee in total knee arthroplasty.,Medial-pivot design | Normal knee kinematic reproduction | Wide regulatory clearance,Total knee arthroplasty,,Sizes 1-6; Tibial inserts 10-25mm,"FDA K033890, K061223, K063128, K063731, K960617, K972626, K972770, K973524. PMDA 20900BZG00012000, 21000BZG00055000, 22200BZX00829000.",advance-medial-pivot-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,"Sizes 1-6, 10-25mm",,ACTIVE,cleared,,,,,,,,,cleared,,,,,
advance-mpx-posterior-stabilized-total-knee-system,Advance® MPX™ Posterior Stabilized Total Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Total knee prosthesis,Domestic posterior stabilized total knee prosthesis,"A domestically manufactured Posterior Stabilized (PS) total knee prosthesis. Includes femoral condyle, tibial insert, tibial support, and patella components.",Posterior Stabilized (PS) design | Domestically manufactured,Total knee arthroplasty,,Femoral Condyle | Tibial Insert | Tibial Support | Patella,NMPA 20193130012,advance-mpx-posterior-stabilized-total-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,,,ACTIVE,,,,,,,cleared,,,,,,,,
advance-mpx-total-knee-system,Advance® MPX™ Total Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Total knee prosthesis,Domestic internal-rotating CS total knee prosthesis,"A domestically manufactured Internal Rotating (CS) total knee prosthesis. Includes femoral condyle, tibial insert, tibial support, and patella components.",Internal Rotating (CS) design | Domestically manufactured | Full component set including patella,Total knee arthroplasty,,Femoral Condyle | Tibial Insert | Tibial Support | Patella,NMPA 20193130200,advance-mpx-total-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,,,ACTIVE,,,,,,,cleared,,,,,,,,
advance-revision-knee-system,Advance® Revision Knee System,MicroPort Orthopedics,"Orthopedic Joint, Spine, and Trauma",Knee systems,Revision total knee system,Replicates normal knee kinematics with greater stability than posterior-stabilized designs,The Advance® Revision Knee System replicates normal knee kinematics and provides greater stability than standard posterior stabilized knees in revision total knee arthroplasty.,Normal knee kinematic replication | Greater stability than posterior-stabilized designs | Medial-pivot principle,Revision total knee arthroplasty,,Sizes 1-5; Tibial inserts 10-35mm,"FDA K061223, K930228, K960617, K972626, K973524, K990030. PMDA 21000BZG00055000, 22200BZX00829000.",advance-revision-knee-system.jpg,,,Joint Reconstruction & Spine & Trauma & Sports Medicine,Orthopedics,"Sizes 1-5, 10-35mm",,ACTIVE,cleared,,,,,,,,,cleared,,,,,
aegis,Aegis®,MicroPort Endovastec,Aortic and Peripheral Vasculature,Stent-grafts,Bifurcated abdominal aortic stent-graft system,Integrated unibody AAA stent-graft with bifurcated design,The Aegis® is a bifurcated abdominal aortic stent-graft system combining a unibody main body with iliac limbs for endovascular aneurysm repair. The delivery system outer sheath diameter is 22F.,Bifurcated and unibody configurations | Main stent graft diameters 20–36 mm | Limb stent graft diameters 12–20 mm | Delivery system outer sheath 22F,Endovascular repair of abdominal aortic aneurysms,Patients with abdominal aortic aneurysms requiring endovascular repair,Main Stent Graft Diameter: 20–36 mm | Limb Stent Graft Diameter: 12–20 mm | Main Body Length: 40–130 mm | Limb Length: 40–100 mm | Delivery Sheath: 22F,NMPA 20193131931.,aegis.jpg,,,Aortic & Peripheral & Tumor Intervention,Vascular Surgeon | Cardiovascular Surgeon | Interventionist | Cardiothoracic Surgeon | Radiology,,,ACTIVE,,,,,,,cleared,20193131931,,,,,,,
ais-advance,AISAdvance™,"MicroPort NeuroScientific (Shanghai) Co., Ltd.",Neurovascular and Brain-Computer Interfaces,,Intracranial thrombectomy support and accessories,Intracranial thrombectomy support and accessories,"A set of intracranial thrombectomy stent, intracranial distal catheter, microcatheter and neurovascular guide wire, aiming to provide a comprehensive solution for the treatment of acute ischemic stroke (AIS)",,,,"Specially designed for Advance procedures, safe and efficient;
Integrated procurement solution;
Improve efficiency to seize the golden treatment window。",NMPA: 20253030467.,s3:products/c7551021b1a8bed89a04de9759b42b929edc2062d92f6e3aae5bddfcf2dba1a5.png,,,,Neurosurgery | Neurointerventional Medicine | Interventional Medicine | Brain Surgery,AIS-E6040 | AIS-E5040 | AIS-E4040 | AIS-E3020 | AIS-E3010 | DC6-125 | DC5-125 | DC6-135 | DC5-135 | MC-21-155 | ROC-14-STD-200 | ROC-14-STD-300 | 6F-6040-S | 6F-5040-S | 6F-4040-S | 5F-4040-S | 5F-3020-S | 6F-3020-S | 5F-3020-L | 6F-6040-L | 5F-3010-L,,ACTIVE,,,,,,,cleared,,,,,,,,
ais-fast,AISFAST™,"MicroPort NeuroScientific (Shanghai) Co., Ltd.",Neurovascular and Brain-Computer Interfaces,,Intracranial thrombus suction assembly / Intracranial thrombectomy support and accessories,Intracranial thrombus suction assembly / Intracranial thrombectomy support and accessories,The first adaptive direct aspiration (fast) technology specific product portfolio package,,,,"Specially tailored for FAST procedures, safe and efficient;
Integrated procurement solution;
Improve efficiency to seize the golden treatment window。",NMPA: 20253031844.,s3:products/61f67f0db960cef622acd88c189760118970fb1ffa86a3b15a9bbf59a4a14701.png,,,,Neurosurgery | Neurointerventional Medicine | Interventional Medicine | Brain Surgery,ASC6-125 | ASC5-125 | ASC5-135 | ASC6-135 | MC-21-155 | ROC-14-STD-300,,ACTIVE,,,,,,,cleared,,,,,,,,
